Shot,Lineage,X,Y,Z,SOX2,POU5F1,TFAP2C,TFAP2A,VTCN1,T,MIXL1,OTX2
237_AE,Stalk_CS6,150.449195,75.9163913,-114.857704,0,0.053728038,0.024236179,0,0,0.042035458,0,0
234_AS,Tb_CS6,-216.258257,-19.3838338,-152.698751,0,1.48710341,2.59068464,0.134953545,0,0,0,0
246_C,Tb_CS6,-20.9491655,332.162987,21.8499351,0,0,2.08605759,0.09903492,0,0,0,0
252_A,Tb_CS6,51.6460674,263.983433,117.234549,0.191826309,0.147208115,0.314850986,0.116316817,0,0.068113398,0.068113398,0
255_B,Tb_CS6,186.774112,311.027264,177.976347,0,0.167782429,1.65771231,1.68348775,0,0.044657653,0.044657653,0
255_P,Tb_CS6,105.569122,272.745866,170.341565,0.096727009,0.156376226,2.37172582,1.35519642,0.033292799,0,0,0.033292799
237_B,Tb_CS6,245.629026,280.34791,-112.181109,0,0.016225536,0.766209454,0.081636205,0.00652184,0,0.00652184,0
234_AP,Tb_CS6,141.500236,285.477987,-161.104686,0,0.014834822,1.09950662,0,0,0,0,0
234_AT,Tb_CS6,-248.275248,-75.8164619,-164.004595,0,0.044782466,1.70819065,0.087645129,0,0,0,0
234_AV,Tb_CS6,-32.5202729,237.165234,-159.109374,0,0,1.87991353,0.414594041,0.010871669,0,0.053213608,0
246_B,Tb_CS6,58.1450656,398.827994,24.5074584,0,0,2.29992004,0,0,0,0,0
252_L,Tb_CS6,79.3506347,267.000097,130.779684,0.081010472,0.409652004,1.40263229,0.131586954,0,0.027739106,0.17972813,0
255_A,Tb_CS6,231.157517,343.376564,185.123435,0.011447247,0.088106241,2.6454867,1.32524953,0.077508229,0.045023146,0,0
255_Q,Tb_CS6,76.572745,263.590114,170.887027,0.019145551,0.208606424,2.85933004,0.451225342,0.438838682,0.047193659,0,0.019145551
237_A,Tb_CS6,-2.30055414,365.822425,-132.044049,0,0.090071699,0.114383567,0,0.039599517,0.013374834,0.013374834,0.013374834
234_K,ExMes_CS6,-100.406502,-157.63949,-164.082781,0,0.646855111,0.517608798,0.008234423,0,0,0,0
234_Q,ExMes_CS6,24.8087647,-102.841353,-173.088639,0,0,0,0,0,0,0,0
234_S,ExMes_CS6,90.1517135,-0.105685909,-170.279909,0,0.132107477,0.010037383,0,0,0,0,0
234_U,ExMes_CS6,116.904393,-50.9401889,-155.761933,0,0,0,0,0,0,0,0
234_W,ExMes_CS6,148.611449,-0.526176067,-152.15152,0,2.11055774,0.714046874,0,0,0,0.428788896,0
234_Y,ExMes_CS6,187.697318,32.8113483,-140.543327,0,0.809177654,0.008498445,0,0,0,0,0
234_AA,ExMes_CS6,132.805752,78.9296584,-162.614431,0,0,0.120719257,0,0,0.025337888,0,0
234_AM,ExMes_CS6,100.555094,206.180541,-150.328553,0,0,0.108394635,0.224640385,0,0,0,0
234_AO,ExMes_CS6,183.302127,259.511011,-171.786541,0,0,0,0,0,0,0,0
240_AQ,ExMes_CS6,-142.17154,155.368942,-60.7871374,0,0.082462877,0,0,0.066505354,0,0,0
243_AK,ExMes_CS6,215.43989,228.324802,-32.4018824,0.01682836,0.595862967,0.01682836,0,0.008449579,0.963444142,0,0
243_AU,ExMes_CS6,-123.266633,89.5621094,-14.9923823,0.040513346,1.33801602,0.610138268,0.013687631,1.70845202,0,0,0
246_S,ExMes_CS6,141.141174,-220.407708,32.6232215,0,0,0,0,0,0,0,0
246_Y,ExMes_CS6,305.48781,-7.33700825,31.0903404,0,0,0,0,0,0,0,0
246_AA,ExMes_CS6,306.627182,38.9026082,33.0068954,0,0.037305557,0.006315042,0,0,0,0.012590454,0
246_AC,ExMes_CS6,305.605417,9.01787505,24.5289159,0,0.923139242,0.263225203,0,0,0,0.011514975,0
246_AE,ExMes_CS6,292.00887,153.649081,19.3624685,0,0.67001251,0,0,0,0.067494179,0.011570146,0
246_AO,ExMes_CS6,184.060031,244.172802,32.3326336,0,0.690563252,1.30555854,0,0,0.018255295,0.748859961,0
246_AQ,ExMes_CS6,126.470002,233.788861,11.1489427,0.013676998,1.42396313,0.871655874,0,0.013676998,0.176297937,0.544052557,0
249_S,ExMes_CS6,-246.719693,-127.646768,84.7647024,0,0.640664066,0.469061805,0.181903078,0,0,0,0
255_AJ,ExMes_CS6,371.555206,194.450974,168.236481,0.001486648,0.049345842,0.00445333,0.00445333,0.001486648,0.060611118,0.001486648,0
255_AL,ExMes_CS6,485.710253,158.125481,170.999877,0,0.040433471,0.014892924,0.003744076,0,0,0,0
229_D,ExMes_CS6,33.6962946,24.85134,-254.508518,0,0,0,0,0,0,0,0
229_F,ExMes_CS6,114.91657,64.695183,-258.036108,0,0,0,0,0,0,0,0
